Country,Incidence,Mortality,age,gender,disease_id,disease_name,year,country_id,age_code,ethnicity,people_id,vs_id
Denmark,40.6,29.7,45-59,Male,C0242379,Malignant neoplasm of lung,2022,DK,45-59 years,undefined,people_45-59_male_undefined,vstat_C0242379_DK_45-59_male_undefined
Estonia,57.0,55.4,45-59,Male,C0242379,Malignant neoplasm of lung,2022,EE,45-59 years,undefined,people_45-59_male_undefined,vstat_C0242379_EE_45-59_male_undefined
EU-27,67.9,50.6,45-59,Male,C0242379,Malignant neoplasm of lung,2022,EU-27,45-59 years,undefined,people_45-59_male_undefined,vstat_C0242379_EU-27_45-59_male_undefined
Finland,27.1,23.2,45-59,Male,C0242379,Malignant neoplasm of lung,2022,FI,45-59 years,undefined,people_45-59_male_undefined,vstat_C0242379_FI_45-59_male_undefined
France,98.9,68.0,45-59,Male,C0242379,Malignant neoplasm of lung,2022,FR,45-59 years,undefined,people_45-59_male_undefined,vstat_C0242379_FR_45-59_male_undefined
Germany,60.3,46.3,45-59,Male,C0242379,Malignant neoplasm of lung,2022,DE,45-59 years,undefined,people_45-59_male_undefined,vstat_C0242379_DE_45-59_male_undefined
Greece,71.4,51.1,45-59,Male,C0242379,Malignant neoplasm of lung,2022,GR,45-59 years,undefined,people_45-59_male_undefined,vstat_C0242379_GR_45-59_male_undefined
Hungary,130.4,103.6,45-59,Male,C0242379,Malignant neoplasm of lung,2022,HU,45-59 years,undefined,people_45-59_male_undefined,vstat_C0242379_HU_45-59_male_undefined
Ireland,39.1,24.9,45-59,Male,C0242379,Malignant neoplasm of lung,2022,IE,45-59 years,undefined,people_45-59_male_undefined,vstat_C0242379_IE_45-59_male_undefined
Italy,42.1,26.4,45-59,Male,C0242379,Malignant neoplasm of lung,2022,IT,45-59 years,undefined,people_45-59_male_undefined,vstat_C0242379_IT_45-59_male_undefined
Latvia,56.0,67.1,45-59,Male,C0242379,Malignant neoplasm of lung,2022,LV,45-59 years,undefined,people_45-59_male_undefined,vstat_C0242379_LV_45-59_male_undefined
Lithuania,70.7,69.3,45-59,Male,C0242379,Malignant neoplasm of lung,2022,LT,45-59 years,undefined,people_45-59_male_undefined,vstat_C0242379_LT_45-59_male_undefined
Luxembourg,38.5,35.8,45-59,Male,C0242379,Malignant neoplasm of lung,2022,LU,45-59 years,undefined,people_45-59_male_undefined,vstat_C0242379_LU_45-59_male_undefined
Malta,29.6,23.2,45-59,Male,C0242379,Malignant neoplasm of lung,2022,MT,45-59 years,undefined,people_45-59_male_undefined,vstat_C0242379_MT_45-59_male_undefined
Netherlands,46.7,29.7,45-59,Male,C0242379,Malignant neoplasm of lung,2022,NL,45-59 years,undefined,people_45-59_male_undefined,vstat_C0242379_NL_45-59_male_undefined
Poland,90.9,69.9,45-59,Male,C0242379,Malignant neoplasm of lung,2022,PL,45-59 years,undefined,people_45-59_male_undefined,vstat_C0242379_PL_45-59_male_undefined
Portugal,70.9,54.8,45-59,Male,C0242379,Malignant neoplasm of lung,2022,PT,45-59 years,undefined,people_45-59_male_undefined,vstat_C0242379_PT_45-59_male_undefined
Romania,118.5,99.9,45-59,Male,C0242379,Malignant neoplasm of lung,2022,RO,45-59 years,undefined,people_45-59_male_undefined,vstat_C0242379_RO_45-59_male_undefined
Slovakia,48.5,39.3,45-59,Male,C0242379,Malignant neoplasm of lung,2022,SK,45-59 years,undefined,people_45-59_male_undefined,vstat_C0242379_SK_45-59_male_undefined
Slovenia,58.7,61.0,45-59,Male,C0242379,Malignant neoplasm of lung,2022,SI,45-59 years,undefined,people_45-59_male_undefined,vstat_C0242379_SI_45-59_male_undefined
Spain,71.3,50.4,45-59,Male,C0242379,Malignant neoplasm of lung,2022,ES,45-59 years,undefined,people_45-59_male_undefined,vstat_C0242379_ES_45-59_male_undefined
Sweden,16.8,12.6,45-59,Male,C0242379,Malignant neoplasm of lung,2022,SE,45-59 years,undefined,people_45-59_male_undefined,vstat_C0242379_SE_45-59_male_undefined
Austria,157.6,102.0,60-74,Female,C0242379,Malignant neoplasm of lung,2022,AT,60-74 years,undefined,people_60-74_female_undefined,vstat_C0242379_AT_60-74_female_undefined
Belgium,167.1,97.9,60-74,Female,C0242379,Malignant neoplasm of lung,2022,BE,60-74 years,undefined,people_60-74_female_undefined,vstat_C0242379_BE_60-74_female_undefined
Bulgaria,68.7,56.6,60-74,Female,C0242379,Malignant neoplasm of lung,2022,BG,60-74 years,undefined,people_60-74_female_undefined,vstat_C0242379_BG_60-74_female_undefined
Croatia,144.3,101.1,60-74,Female,C0242379,Malignant neoplasm of lung,2022,HR,60-74 years,undefined,people_60-74_female_undefined,vstat_C0242379_HR_60-74_female_undefined
Cyprus,85.8,61.6,60-74,Female,C0242379,Malignant neoplasm of lung,2022,CY,60-74 years,undefined,people_60-74_female_undefined,vstat_C0242379_CY_60-74_female_undefined
Czechia,119.4,86.7,60-74,Female,C0242379,Malignant neoplasm of lung,2022,CZ,60-74 years,undefined,people_60-74_female_undefined,vstat_C0242379_CZ_60-74_female_undefined
Denmark,241.5,152.1,60-74,Female,C0242379,Malignant neoplasm of lung,2022,DK,60-74 years,undefined,people_60-74_female_undefined,vstat_C0242379_DK_60-74_female_undefined
Estonia,88.8,52.8,60-74,Female,C0242379,Malignant neoplasm of lung,2022,EE,60-74 years,undefined,people_60-74_female_undefined,vstat_C0242379_EE_60-74_female_undefined
EU-27,128.1,91.0,60-74,Female,C0242379,Malignant neoplasm of lung,2022,EU-27,60-74 years,undefined,people_60-74_female_undefined,vstat_C0242379_EU-27_60-74_female_undefined
Finland,98.3,65.1,60-74,Female,C0242379,Malignant neoplasm of lung,2022,FI,60-74 years,undefined,people_60-74_female_undefined,vstat_C0242379_FI_60-74_female_undefined
France,130.6,79.9,60-74,Female,C0242379,Malignant neoplasm of lung,2022,FR,60-74 years,undefined,people_60-74_female_undefined,vstat_C0242379_FR_60-74_female_undefined
Germany,141.8,104.2,60-74,Female,C0242379,Malignant neoplasm of lung,2022,DE,60-74 years,undefined,people_60-74_female_undefined,vstat_C0242379_DE_60-74_female_undefined
Greece,98.3,72.4,60-74,Female,C0242379,Malignant neoplasm of lung,2022,GR,60-74 years,undefined,people_60-74_female_undefined,vstat_C0242379_GR_60-74_female_undefined
