REF_AREA,Reference area,Pollutant,Measure,Unit of measure,TIME_PERIOD,OBS_VALUE,Frequency of observation
FRB,Centre-Val de Loire,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,15.28634,Annual
FRC,Bourgogne-Franche-Comté,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,15.427557,Annual
FRD,Normandy,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,16.23073,Annual
FRE,Hauts-de-France,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,19.745831,Annual
FRF,Grand Est,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,17.560085,Annual
FRG,Pays de la Loire,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,13.435798,Annual
FRH,Brittany,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,12.707896,Annual
FRI,Nouvelle-Aquitaine,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,14.653578,Annual
FRJ,Occitanie,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,16.193825,Annual
FRK,Auvergne-Rhône-Alpes,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,17.25437,Annual
FRL,Provence-Alpes-Côte d’Azur,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,18.792244,Annual
FRM,Corsica,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,14.126699,Annual
FRY1,Guadeloupe,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,8.4349289,Annual
FRY2,Martinique,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,10.166114,Annual
FRY3,French Guiana,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,17.517828,Annual
FRY4,La Réunion,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,5.6217594,Annual
FRY5,Mayotte,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,7.0729566,Annual
HR02,Pannonian Croatia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,31.785782,Annual
HR03,Adriatic Croatia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,14.113722,Annual
HR06,Northern Croatia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,25.250963,Annual
HU11,Budapest,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,27.749727,Annual
HU12,Pest,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,23.983194,Annual
HU21,Central Transdanubia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,21.372763,Annual
HU22,Western Transdanubia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,22.178587,Annual
HU23,Southern Transdanubia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,24.017242,Annual
HU31,Northern Hungary,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,27.406927,Annual
HU32,Northern Great Plain,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,22.784498,Annual
HU33,Southern Great Plain,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,22.297567,Annual
