pollutant,country,sampling_point,station_name,municipality,latitude,longitude,station_area,annual_mean,n_observations,unit,agg_type,year
PM2.5,AT,SPO.03.0201.67768.6001.1,Bad Vöslau; Gainfarn,2540 Bad Vöslau,47.9592,16.20573,suburban,8.4992,8763,ug.m-3,hour,2024
PM2.5,AT,SPO.04.S406.66100.6001.1,Wels Linzerstraße,4600 Wels,48.1649,14.0366,suburban,14.2508,8604,ug.m-3,hour,2017
PM2.5,AT,SPO.04.S406.66100.6001.1,Wels Linzerstraße,4600 Wels,48.1649,14.0366,suburban,14.9821,8655,ug.m-3,hour,2018
PM2.5,AT,SPO.04.S406.66100.6001.1,Wels Linzerstraße,4600 Wels,48.1649,14.0366,suburban,12.3020,8619,ug.m-3,hour,2019
PM2.5,AT,SPO.04.S406.66100.6001.1,Wels Linzerstraße,4600 Wels,48.1649,14.0366,suburban,10.6430,7481,ug.m-3,hour,2020
PM2.5,AT,SPO.04.S406.66100.6001.1,Wels Linzerstraße,4600 Wels,48.1649,14.0366,suburban,10.8472,8673,ug.m-3,hour,2021
PM2.5,AT,SPO.04.S406.66100.6001.1,Wels Linzerstraße,4600 Wels,48.1649,14.0366,suburban,10.7342,8612,ug.m-3,hour,2022
PM2.5,AT,SPO.04.S406.66100.6001.1,Wels Linzerstraße,4600 Wels,48.1649,14.0366,suburban,9.2999,8683,ug.m-3,hour,2023
PM2.5,AT,SPO.04.S406.66100.6001.1,Wels Linzerstraße,4600 Wels,48.1649,14.0366,suburban,10.0404,8758,ug.m-3,hour,2024
PM2.5,AT,SPO.03.0701.68664.6001.1,Ziersdorf,3710 Ziersdorf,48.52832,15.94185,rural,8.1342,6833,ug.m-3,hour,2024
PM2.5,AT,SPO.09.FLO.67752.6001.1,Floridsdorf,1210 Wien,48.26109,16.39695,urban,11.0943,364,ug.m-3,day,2020
PM2.5,AT,SPO.04.S431.66060.6001.1,Linz Römerberg B139,4020 Linz,48.30299,14.28217,urban,12.0367,300,ug.m-3,day,2020
PM2.5,AT,SPO.09.BELG.67350.6001.1,Belgradplatz,1100 Wien,48.17435,16.36142,urban,12.8174,8755,ug.m-3,hour,2019
PM2.5,AT,SPO.09.BELG.67350.6001.1,Belgradplatz,1100 Wien,48.17435,16.36142,urban,9.9888,8774,ug.m-3,hour,2020
